T07,"Enrolment in primary, secondary and tertiary education levels",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,"Sub-Saharan Africa",2014,"Gross enrollment ratio - Primary (female)",96.7495,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Students enrolled in secondary education (thousands)",54747.3963,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Gross enrollment ratio - Secondary (male)",46.0994,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Gross enrollment ratio - Secondary (female)",39.6504,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Students enrolled in tertiary education (thousands)",7509.2135,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Gross enrollment ratio - Tertiary (male)",10.1592,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2014,"Gross enrollment ratio - Tertiary (female)",7.1035,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Students enrolled in primary education (thousands)",156751.6984,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Gross enrollement ratio - Primary (male)",100.15,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Gross enrollment ratio - Primary (female)",95.7591,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Students enrolled in secondary education (thousands)",57117.1681,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Gross enrollment ratio - Secondary (male)",46.6374,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Gross enrollment ratio - Secondary (female)",40.2399,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Students enrolled in tertiary education (thousands)",7719.7499,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
202,"Sub-Saharan Africa",2015,"Gross enrollment ratio - Tertiary (male)",10.2203,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
